ISO3,Country,GDP_Per_Capita,Suicide_Rate
NIC,Nicaragua,5092.8413,6.51094075
KGZ,Kyrgyz Republic,5304.841,5.4944403125
TJK,Tajikistan,5507.5454,2.1426437750000003
MDA,Moldova,6674.871,11.391795125000002
CUB,Cuba,7648.704,10.026297
GTM,Guatemala,7969.431,3.4062826
PRY,Paraguay,8762.771,7.5908645
ECU,Ecuador,10124.076,5.9307886
LBN,Lebanon,10341.159,0.3140838833333333
LCA,St. Lucia,10452.165,3.3088608
ZAF,South Africa,11415.887,0.3561868
UZB,Uzbekistan,12559.401,5.4599759125
PER,Peru,12762.967,2.120619
MNG,Mongolia,13442.906,15.71741925
ARM,Armenia,13837.577,1.4030564375
MKD,North Macedonia,14050.995,4.210326824999999
GEO,Georgia,14360.359,4.74362305
COL,Colombia,14468.964,5.423992
BRA,Brazil,14640.076,6.452054
CRI,Costa Rica,15496.82,7.492456150000001
MEX,Mexico,16235.455,6.08134975
THA,Thailand,16421.072,8.7532522
SRB,Serbia,17097.686,7.414779325
ARG,Argentina,18292.318,6.4893977
URY,Uruguay,20181.94,20.268204250000004
BGR,Bulgaria,20592.455,5.100573325000001
MUS,Mauritius,20643.094,9.64010725
CHL,Chile,22740.72,8.7075095
PAN,Panama,23557.02,2.6815594333333337
GRC,Greece,25283.906,3.4061381500000003
TTO,Trinidad and Tobago,25773.006,7.9360337
ROU,Romania,26197.904,6.726349666666667
KAZ,Kazakhstan,26491.857,9.204862375
MYS,Malaysia,26628.707,0.07090257
HRV,Croatia,26986.752,9.806135
LVA,Latvia,27220.303,10.410770374999998
TUR,TÃ¼rkiye,27361.988,4.6230893375
SVK,Slovak Republic,27519.287,5.179792775
PRT,Portugal,28992.059,6.596331
HUN,Hungary,29451.855,11.637250625
EST,Estonia,30067.395,12.352794625
LTU,Lithuania,30863.32,14.7230185625
SYC,Seychelles,31055.39,6.436236600000001
CYP,Cyprus,31523.498,3.21374025
CZE,Czechia,32247.395,9.338467625
POL,Poland,32468.402,10.26264425
SVN,Slovenia,32673.762,12.836475375
ESP,Spain,34123.387,6.171110275
MLT,Malta,34496.34,4.781745675
ITA,Italy,36224.293,4.519402400000001
ISR,Israel,36648.918,4.0670748
JPN,Japan,38268.79,14.165751749999998
GBR,United Kingdom,38406.53,7.76184585
FRA,France,39065.71,10.26945875
FIN,Finland,40701.465,11.7705205
KOR,Korea,41320.9,19.39969375
BEL,Belgium,41872.395,11.610565
ISL,Iceland,42145.594,9.33359275
AUT,Austria,43792.855,9.335877
CAN,Canada,45529.645,8.784677
DEU,Germany,46647.793,7.5085526
SWE,Sweden,47126.13,10.259622875
OMN,Oman,47988.65,0.07442001
NLD,Netherlands,49669.867,8.57502775
DNK,Denmark,50689.68,7.33432315
AUS,Australia,52049.43,11.130698125
SAU,Saudi Arabia,53516.91,1.6822744857142855
LUX,Luxembourg,55484.777,5.3646076375
USA,United States,58487.465,12.99489825
IRL,Ireland,60257.082,8.12408465
CHE,Switzerland,63323.254,8.302254725000001
KWT,Kuwait,71533.516,1.4065798
ARE,United Arab Emirates,77203.67,2.14643686
SGP,Singapore,80320.086,7.21424165
QAT,Qatar,149171.11,1.7464401500000002
