ISO3,ISI,SBI,Group
ABW,0.8567346500229074,-3.5731281530459325,"High Cost Cap (Low Inst, Low Soc)"
AFG,-5.817549827364951,5.797499351683461,"Traditional (Low Inst, High Soc)"
AGO,-7.879648850981286,2.333478139748607,"Traditional (Low Inst, High Soc)"
ALB,3.3973735811200143,2.226090220707394,"Traditional (Low Inst, High Soc)"
AND,5.858421092306822,-0.9990606221609064,Developmental Strain (Compressed Modernization)
ARG,2.5255282932748133,-0.022161943813436,"High Cost Cap (Low Inst, Low Soc)"
ARM,5.734580721648055,0.7148161464963999,Nordic Paradox (Gradual Development)
AUS,2.960437449896953,-3.7846019963366913,"High Cost Cap (Low Inst, Low Soc)"
AUT,7.403324796078882,-6.508776764662024,Nordic Paradox (Gradual Development)
AZE,1.6824691522031552,1.1904187138426698,"Traditional (Low Inst, High Soc)"
BDI,-5.751218285849163,3.0751462424603404,"Traditional (Low Inst, High Soc)"
BEL,10.683720468086468,-6.090262751878534,Developmental Strain (Compressed Modernization)
BEN,-4.999420686817567,1.60654881217175,"Traditional (Low Inst, High Soc)"
BFA,-3.3649234915116994,3.911935532253209,"Traditional (Low Inst, High Soc)"
BGD,-1.441902356005096,3.4611629124057712,"Traditional (Low Inst, High Soc)"
BGR,5.765654635971526,-4.120329976838187,Nordic Paradox (Gradual Development)
BHS,-2.035076656454326,-1.4496690633869034,"High Cost Cap (Low Inst, Low Soc)"
BIH,4.316457225034696,1.4745741888679011,"Ideal (High Inst, High Soc)"
BLR,6.641806606937912,-5.3359768032862815,Developmental Strain (Compressed Modernization)
BLZ,-3.178547988806719,0.4161468473885437,"High Cost Cap (Low Inst, Low Soc)"
BMU,-1.258326227075245,-6.074670074885233,"High Cost Cap (Low Inst, Low Soc)"
BOL,-0.2622233134415009,-0.8058657667593382,"High Cost Cap (Low Inst, Low Soc)"
BRA,-4.427109572085252,0.8614991931669397,"Traditional (Low Inst, High Soc)"
BRB,4.063374491923189,-4.3526912462126495,Nordic Paradox (Gradual Development)
BRN,5.042623492567078,1.5563124973822464,"Ideal (High Inst, High Soc)"
BTN,5.026782637682206,1.318454368762708,"Ideal (High Inst, High Soc)"
BWA,-6.068820545518284,-2.471379019264521,"High Cost Cap (Low Inst, Low Soc)"
CAF,-11.91575686553422,1.9711978467762,"Traditional (Low Inst, High Soc)"
CAN,-0.4238044037592492,-4.918348766515582,"High Cost Cap (Low Inst, Low Soc)"
CHE,7.300121718526518,-5.67904756201834,Nordic Paradox (Gradual Development)
CHL,0.1937813911332659,0.4999053248275762,"High Cost Cap (Low Inst, Low Soc)"
CHN,5.085595538904859,-0.7223703325926938,Developmental Strain (Compressed Modernization)
CIV,-3.179316692974677,1.6225679681354752,"Traditional (Low Inst, High Soc)"
CMR,-5.272948418750738,2.1417014078298,"Traditional (Low Inst, High Soc)"
COD,-9.66874601885993,3.016522898041804,"Traditional (Low Inst, High Soc)"
COG,-6.042734883554451,0.7440656322350894,"High Cost Cap (Low Inst, Low Soc)"
COL,-4.035050542353884,0.588020535500938,"High Cost Cap (Low Inst, Low Soc)"
COM,-5.724254219202054,4.358082850092409,"Traditional (Low Inst, High Soc)"
CRI,-0.2685393095590081,0.7725864552825135,"High Cost Cap (Low Inst, Low Soc)"
CUB,4.636896395172677,-0.3555510061541069,Developmental Strain (Compressed Modernization)
CYM,-3.219459215680115,-6.595199974121888,"High Cost Cap (Low Inst, Low Soc)"
CYP,5.354884780517182,-1.0674077530143151,Nordic Paradox (Gradual Development)
CZE,8.130961237225002,-3.5256976704744267,Developmental Strain (Compressed Modernization)
DEU,8.31110288206588,-7.404937492740338,Nordic Paradox (Gradual Development)
DJI,-5.893029445343425,3.9576286192132906,"Traditional (Low Inst, High Soc)"
DOM,-3.68677073354396,-0.1494083318451732,"High Cost Cap (Low Inst, Low Soc)"
DZA,1.7913219615963871,3.2146707703741586,"Traditional (Low Inst, High Soc)"
ECU,-3.1250465475102334,1.8948823304458164,"Traditional (Low Inst, High Soc)"
EGY,-0.9612000673847064,3.294679485785435,"Traditional (Low Inst, High Soc)"
ESP,3.241170702697318,-1.2485754787526726,"High Cost Cap (Low Inst, Low Soc)"
EST,5.068318547688955,-5.769400898688136,Developmental Strain (Compressed Modernization)
ETH,-2.8936267528577013,2.2986597070180004,"Traditional (Low Inst, High Soc)"
FIN,8.810536171101477,-7.06837314401764,Developmental Strain (Compressed Modernization)
FJI,1.346673110006354,2.90998446829612,"Traditional (Low Inst, High Soc)"
FRA,5.795294251122005,-5.118736112218765,Nordic Paradox (Gradual Development)
GAB,-1.092490151190164,-2.0617861620756988,"High Cost Cap (Low Inst, Low Soc)"
GBR,4.1538833662878405,-4.42740325152828,"High Cost Cap (Low Inst, Low Soc)"
GEO,3.679968392931303,0.8464608267442125,"Ideal (High Inst, High Soc)"
GHA,-0.4449368621184596,-0.1461154189281041,"High Cost Cap (Low Inst, Low Soc)"
GIN,-6.826657846065249,3.931754709324729,"Traditional (Low Inst, High Soc)"
GMB,-2.452997352918686,3.8235391505919134,"Traditional (Low Inst, High Soc)"
GNB,-4.4510552167602775,5.094332341217421,"Traditional (Low Inst, High Soc)"
GNQ,-4.225462087142266,2.3996054870681607,"Traditional (Low Inst, High Soc)"
GRC,5.356349332658432,-1.2241186487955695,Developmental Strain (Compressed Modernization)
GTM,-4.067077940638512,2.7580421211207566,"Traditional (Low Inst, High Soc)"
GUY,-8.227942092100292,0.4609959891116508,"High Cost Cap (Low Inst, Low Soc)"
HKG,5.183720791573915,-4.459113178970356,Developmental Strain (Compressed Modernization)
HND,-6.184451213384398,2.282335040475308,"Traditional (Low Inst, High Soc)"
HRV,5.923654051132834,-4.528676627428038,Developmental Strain (Compressed Modernization)
HTI,-10.065343158778967,-1.6764256368235473,"High Cost Cap (Low Inst, Low Soc)"
HUN,4.873986207448326,-4.8222257474514425,Developmental Strain (Compressed Modernization)
IDN,-0.8310868058858072,3.044743910182647,"Traditional (Low Inst, High Soc)"
IMN,4.3125151372626025,-5.62904189336655,Nordic Paradox (Gradual Development)
IND,-0.0252036765508087,2.589475295688514,"Traditional (Low Inst, High Soc)"
IRL,3.897408343806801,-2.7890537085561773,Nordic Paradox (Gradual Development)
IRN,-1.0091864530196366,1.9079025935532976,"Traditional (Low Inst, High Soc)"
IRQ,-1.0341646718789876,5.005293868317692,"Traditional (Low Inst, High Soc)"
ISR,7.394995543992166,-1.8521917458116743,Nordic Paradox (Gradual Development)
ITA,6.974619800902189,-3.6527553226637233,Developmental Strain (Compressed Modernization)
JAM,-5.63274158002959,-3.1463459064452186,"High Cost Cap (Low Inst, Low Soc)"
JOR,1.5557604993361962,3.6005473732777538,"Traditional (Low Inst, High Soc)"
JPN,7.706256144499543,-2.8179267902152603,Developmental Strain (Compressed Modernization)
KAZ,5.653054638660915,0.6919726842893864,Nordic Paradox (Gradual Development)
KEN,-3.006703745728735,1.540321837413561,"Traditional (Low Inst, High Soc)"
KGZ,4.434976415783711,1.9607610391429469,"Ideal (High Inst, High Soc)"
KHM,-2.163952384028663,2.4643214698407965,"Traditional (Low Inst, High Soc)"
KIR,2.054176565489768,3.088366636269514,"Traditional (Low Inst, High Soc)"
KOR,5.5856273599981865,-1.520627278701628,Developmental Strain (Compressed Modernization)
KWT,5.038052053701955,-0.4211297740499874,Nordic Paradox (Gradual Development)
LAO,-6.543293106356342,3.803919663569769,"Traditional (Low Inst, High Soc)"
LBN,0.0892419480231308,-4.370856496613616,"High Cost Cap (Low Inst, Low Soc)"
LBR,-4.376487994698923,0.6323030127815024,"High Cost Cap (Low Inst, Low Soc)"
LBY,-0.1691058703935681,1.8451495994415,"Traditional (Low Inst, High Soc)"
LCA,-3.0327122325278246,-4.369828466027655,"High Cost Cap (Low Inst, Low Soc)"
LIE,4.655040799436472,-6.9971985678331325,Nordic Paradox (Gradual Development)
LSO,-3.15814426968492,0.7553632753880762,"High Cost Cap (Low Inst, Low Soc)"
LTU,3.1162170942709806,-7.307169228609313,"High Cost Cap (Low Inst, Low Soc)"
LUX,3.736719048120645,-5.944184897395237,Nordic Paradox (Gradual Development)
LVA,3.98826028572808,-9.3151260897004,Developmental Strain (Compressed Modernization)
MAC,5.86688502372035,-1.2652017587447897,Developmental Strain (Compressed Modernization)
MAR,0.8994842788933024,2.798412296263364,"Traditional (Low Inst, High Soc)"
MCO,3.811487863170736,-7.509702292533407,Nordic Paradox (Gradual Development)
MDA,6.057040476161097,-4.686729288821508,Nordic Paradox (Gradual Development)
MDG,-6.140956909911422,2.256590336939209,"Traditional (Low Inst, High Soc)"
MDV,8.601400567811035,3.6483523195083447,"Ideal (High Inst, High Soc)"
MEX,-5.026938023359636,1.553838034584195,"Traditional (Low Inst, High Soc)"
MKD,4.366016843437938,2.606858663985768,"Ideal (High Inst, High Soc)"
MLI,-4.716926829431236,3.12234545102055,"Traditional (Low Inst, High Soc)"
MLT,5.95423051844079,-2.258834248958224,Developmental Strain (Compressed Modernization)
MMR,-5.900928554137636,1.4236550876097664,"Traditional (Low Inst, High Soc)"
MNE,3.60093367116217,0.030382946675477,Nordic Paradox (Gradual Development)
MNG,2.9789034182157264,-1.289566810298605,"High Cost Cap (Low Inst, Low Soc)"
MOZ,-10.241295998405,0.7067288714532696,"High Cost Cap (Low Inst, Low Soc)"
MRT,-2.606930313902391,3.011225110738051,"Traditional (Low Inst, High Soc)"
MUS,2.271996972223064,1.3529598756541297,"Traditional (Low Inst, High Soc)"
MWI,-4.844791500369667,2.0104082638068004,"Traditional (Low Inst, High Soc)"
MYS,3.4340790060999544,2.9037217339507766,"Traditional (Low Inst, High Soc)"
NAM,-6.146275251356564,1.2781835982424523,"Traditional (Low Inst, High Soc)"
NCL,1.1805242788515042,-1.6871780395430092,"High Cost Cap (Low Inst, Low Soc)"
NER,-5.5281388573526495,3.1789769334240168,"Traditional (Low Inst, High Soc)"
NGA,-7.555113951840963,2.0236967141625337,"Traditional (Low Inst, High Soc)"
NIC,-3.9908653481796574,0.6902715018781729,"High Cost Cap (Low Inst, Low Soc)"
NLD,2.671884684464871,-7.03898747099689,"High Cost Cap (Low Inst, Low Soc)"
NOR,8.284348107925343,-5.75317450252717,Nordic Paradox (Gradual Development)
NPL,0.480756798938727,2.7645532635737133,"Traditional (Low Inst, High Soc)"
NZL,7.164370882835865,-3.2400500268510823,Developmental Strain (Compressed Modernization)
OMN,1.491452969084889,2.953201120512505,"Traditional (Low Inst, High Soc)"
PAK,-6.455543583535626,3.5208493179452502,"Traditional (Low Inst, High Soc)"
PAN,-0.7873949911257002,0.8397101561351292,"Traditional (Low Inst, High Soc)"
PER,-0.2514859805751106,-0.1641954298962221,"High Cost Cap (Low Inst, Low Soc)"
PHL,-0.8281741346854101,3.4506976670268474,"Traditional (Low Inst, High Soc)"
PLW,1.7838286433605737,-0.9417369536448068,"High Cost Cap (Low Inst, Low Soc)"
PNG,-5.093191191140213,2.440677513680101,"Traditional (Low Inst, High Soc)"
POL,8.145758704724006,-4.604703844817747,Developmental Strain (Compressed Modernization)
PRI,-2.494194058716403,-0.0197732804360461,"High Cost Cap (Low Inst, Low Soc)"
PRK,1.8080506488772472,2.363635215094694,"Traditional (Low Inst, High Soc)"
PRT,0.7934720752243294,-1.8006186675234264,"High Cost Cap (Low Inst, Low Soc)"
PRY,-3.2433409503196287,2.273457171366521,"Traditional (Low Inst, High Soc)"
PSE,3.277828075947156,3.756782424950536,"Traditional (Low Inst, High Soc)"
PYF,1.1806770111215996,1.3633286613714508,"Traditional (Low Inst, High Soc)"
QAT,2.719238792222636,3.3010002560354983,"Traditional (Low Inst, High Soc)"
ROU,7.753010878094827,-3.2776175156918583,Nordic Paradox (Gradual Development)
RUS,-0.6893457471786885,-9.184238314904478,"High Cost Cap (Low Inst, Low Soc)"
RWA,-3.135638665857527,-0.5097108376042789,"High Cost Cap (Low Inst, Low Soc)"
SAU,4.550910092492715,2.263970121149251,"Ideal (High Inst, High Soc)"
SDN,-4.5167943763227,3.975952990170759,"Traditional (Low Inst, High Soc)"
SEN,-2.25540891754646,5.57958698975,"Traditional (Low Inst, High Soc)"
SGP,2.5212179740382044,0.5117072501880328,"High Cost Cap (Low Inst, Low Soc)"
SLE,-4.813888955012418,3.523595018252314,"Traditional (Low Inst, High Soc)"
SLV,-1.2094944800759977,2.346484703578588,"Traditional (Low Inst, High Soc)"
SOM,-8.95547492105312,4.233253526686378,"Traditional (Low Inst, High Soc)"
SRB,3.241918053436679,-1.3925048704649772,"High Cost Cap (Low Inst, Low Soc)"
SSD,-7.96460489158772,2.999100266413816,"Traditional (Low Inst, High Soc)"
STP,2.245059346344629,0.7842291456123054,"Traditional (Low Inst, High Soc)"
SUR,-0.7484632954398311,1.0564557177967062,"Traditional (Low Inst, High Soc)"
SVK,9.089680222544809,-1.346725929388965,Nordic Paradox (Gradual Development)
SVN,6.870528579102183,-4.556137483279173,Developmental Strain (Compressed Modernization)
SWE,4.325713159849375,0.1809701074062158,Nordic Paradox (Gradual Development)
SWZ,-8.897668410699946,-0.2173420439074411,"High Cost Cap (Low Inst, Low Soc)"
SXM,1.2800455560072164,-5.5410253400121885,"High Cost Cap (Low Inst, Low Soc)"
SYC,2.6756167871331944,0.2979731240553178,"High Cost Cap (Low Inst, Low Soc)"
SYR,-4.328891541172059,3.885531734527227,"Traditional (Low Inst, High Soc)"
TCA,-3.545464672787795,-6.712498092199648,"High Cost Cap (Low Inst, Low Soc)"
TCD,-7.253478363395276,2.4834163304030987,"Traditional (Low Inst, High Soc)"
TGO,-3.5312319290407275,2.1401087393744183,"Traditional (Low Inst, High Soc)"
THA,-1.960517529191724,0.1523890616981626,"High Cost Cap (Low Inst, Low Soc)"
TJK,2.844300365471298,4.52913150016307,"Traditional (Low Inst, High Soc)"
TKM,-3.3114948557114765,3.1513679210867105,"Traditional (Low Inst, High Soc)"
TLS,-2.758524610822826,2.9289491100602665,"Traditional (Low Inst, High Soc)"
TON,6.561698776365174,2.339416909520163,"Ideal (High Inst, High Soc)"
TTO,-5.141855572717959,0.6027661994096378,"High Cost Cap (Low Inst, Low Soc)"
TUN,3.090230438965921,2.709891866540043,"Traditional (Low Inst, High Soc)"
TUR,0.1436314236461048,2.2565070445215145,"Traditional (Low Inst, High Soc)"
TUV,5.33370680920364,3.3836062409105265,"Ideal (High Inst, High Soc)"
TWN,-2.129924528992162,-1.2085042435829687,"High Cost Cap (Low Inst, Low Soc)"
TZA,-3.923424502470114,1.9981149965016467,"Traditional (Low Inst, High Soc)"
UGA,-2.9518942751952046,0.9686015419814104,"Traditional (Low Inst, High Soc)"
UKR,7.474770888098438,-3.9661374506439775,Developmental Strain (Compressed Modernization)
URY,-4.271526281720769,-1.47902779210778,"High Cost Cap (Low Inst, Low Soc)"
USA,-2.257797472287052,-3.451417152603959,"High Cost Cap (Low Inst, Low Soc)"
UZB,2.626204058785824,3.410405243624275,"Traditional (Low Inst, High Soc)"
VEN,-7.420616098137626,2.369127935559081,"Traditional (Low Inst, High Soc)"
VNM,-0.8239182706852272,1.035197996169962,"Traditional (Low Inst, High Soc)"
VUT,5.028521214379337,2.591003510861756,"Ideal (High Inst, High Soc)"
WSM,3.99659628827461,3.577449133239482,"Ideal (High Inst, High Soc)"
YEM,-7.957677297633448,4.897651863558813,"Traditional (Low Inst, High Soc)"
ZAF,-9.799222533902771,-1.0481604921565282,"High Cost Cap (Low Inst, Low Soc)"
ZMB,-8.656627219620677,2.3547341347958186,"Traditional (Low Inst, High Soc)"
ZWE,-7.988837753443259,1.942533842657061,"Traditional (Low Inst, High Soc)"
