ISO3,Well_Being_Index
ABW,0.06870015391073177
AFE,0.11498473526873236
AFG,0.14594319537392003
AFW,0.03413353988266155
AGO,0.21013008342811254
ALB,0.16354972571243592
AND,0.12426715187113208
ARB,0.09714383340089806
ARE,0.5157058694090751
ARG,0.518665297019101
ARM,0.5073036653193524
ATG,0.5134348070258629
AUS,0.4152082967658549
AUT,0.4157429870355053
AZE,0.14923404280872363
BDI,0.22585638368450964
BEL,0.37358081561433776
BEN,0.1662798953381681
BFA,0.20471285882016474
BGD,0.14585286025046867
BGR,0.47588021976681705
BHR,0.09843091450965522
BHS,0.1809942522252566
BIH,0.185351390312184
BLM,0.061494333286693716
BLR,0.14611739399575965
BLZ,0.48620410799049496
BMU,0.03265356093465786
BOL,0.20482339935932037
BRA,0.5644375123504474
BRB,0.114942961127294
BRN,0.24893552582139308
BTN,0.21185316713843877
BWA,0.20333935913920748
CAF,0.16774945368411678
CAN,0.4453290015569509
CEB,0.10770707179576314
CHE,0.4280117807919302
CHL,0.5070774643289438
CHN,0.2029970508524343
CIV,0.18706745664102464
CMR,0.10874438981213615
COD,0.19646650079525813
COG,0.19945259984805375
COK,0.09007275780047574
COL,0.5695394022380154
COM,0.18465303885760814
CPV,0.0986777982855151
CRI,0.5200204696364263
CSS,0.07582460492077144
CUB,0.4719891253162395
CYM,0.029522876731495725
CYP,0.5701790393499934
CZE,0.4615567213358449
DEU,0.43563762185961
DJI,0.22229402798785558
DMA,0.09398514806968962
DNK,0.4240372056113434
DOM,0.19667148692741432
DZA,0.20113381180077627
EAP,0.08184481671966162
EAR,0.08258589666736862
EAS,0.09729574371437001
ECA,0.08151922901996903
ECS,0.11483606578491382
ECU,0.5253627040131061
EGY,0.16611866080289908
EMU,0.11785644621530993
ERI,0.04918735774684821
ESP,0.5157737463461434
EST,0.360470121246095
ETH,0.19057841548222176
EUU,0.1173780385564024
FCS,0.04874743462507459
FIN,0.34329496394907216
FJI,0.2499438689875732
FRA,0.4263353691309473
FSM,0.13852535819376105
GAB,0.17812991977575898
GBR,0.4555134504902431
GEO,0.5129922696498832
GHA,0.17234615850707943
GIN,0.16809432665257212
GLP,0.02270183293689659
GMB,0.21916352321817995
GNB,0.16797263705785306
GNQ,0.10374886259305861
GRC,0.5290340461308012
GRD,0.4029618209192834
GTM,0.5366111041673327
GUF,0.06436266965160206
GUY,0.2002340132258038
HIC,0.11997509048559073
HKG,0.0829835362156616
HND,0.1723587378103606
HPC,0.07298759896993186
HRV,0.4532068221385904
HTI,0.17042211179884784
HUN,0.38476243050256564
IBD,0.08459787636019538
IBT,0.08281189121166847
IDA,0.05014122675179534
IDB,0.041828398691212965
IDN,0.2104997492318876
IDX,0.056300567964816285
IMN,0.03826780467328948
IND,0.18194253485573145
IRL,0.488024384997512
IRN,0.19686286466247127
IRQ,0.19153455559915789
ISL,0.3884851662830646
ISR,0.546247497119269
ITA,0.5002478282256427
JAM,0.18474315071755498
JOR,0.19926296227599372
JPN,0.3889213952788123
KAZ,0.45919385663582163
KEN,0.18989823714495363
KGZ,0.5204380870594577
KHM,0.16791807837028638
KIR,0.2726777035791651
KNA,0.06707932407246123
KOR,0.2615194264590574
KWT,0.5308446081931645
LAC,0.09088512390529369
LAO,0.22210062514090165
LBN,0.5078218381016831
LBR,0.1387035342923424
LBY,0.09409142732158168
LCA,0.4981993424489282
LCN,0.09048753148890948
LDC,0.05409670143328114
LIC,0.06195705265777722
LIE,0.0222470966839233
LKA,0.06727417966711416
LMC,0.05663167212368009
LMY,0.08100822577239056
LSO,0.20643657301671225
LTE,0.08835389583529446
LTU,0.305667974355376
LUX,0.5010651327287375
LVA,0.3741086041838989
MAC,0.09037008535049672
MAF,0.040856303344060436
MAR,0.1886493021443046
MCO,0.14238596138162096
MDA,0.39303463620210044
MDG,0.20666192338603723
MDV,0.6540591530489772
MEA,0.09369132213000018
MEX,0.5426870388353401
MHL,0.1413055057140958
MIC,0.08122987305335
MKD,0.5458173724701781
MLI,0.18952000863476495
MLT,0.516364305445474
MMR,0.1562161695425672
MNA,0.059269292670274275
MNE,0.16634072517926446
MNG,0.35847578997016694
MOZ,0.23757968013566533
MRT,0.18589433213092657
MTQ,0.019238841471946277
MUS,0.4459663435115702
MWI,0.2364694209483617
MYS,0.6231813942410751
MYT,0.09332587099482302
NAC,0.12353432437743636
NAM,0.22892300793147638
NCL,0.0824122009234644
NER,0.19750858054670703
NGA,0.14495943430159633
NIC,0.5304362442854103
NLD,0.4359118557963195
NOR,0.12638110839024902
NPL,0.17209132666104884
NRU,0.1424776195326869
NZL,0.1866029181601086
OED,0.1200595756690909
OMN,0.6663597702249088
OSS,0.10426324214055342
PAK,0.18189083955083168
PAN,0.5576834299749279
PER,0.595950766674275
PHL,0.18933510358660333
PLW,0.1972917901765101
PNG,0.2478384176930312
POL,0.6143136909196427
PRE,0.05105607380777104
PRI,0.4114264169750038
PRK,0.13757520638029944
PRT,0.49051198049008005
PRY,0.49092356740502574
PSE,0.20983729451841282
PSS,0.12569232367909783
PST,0.12074247183856372
PYF,0.09734853784804813
QAT,0.6499081154889406
REU,0.05145515600951447
ROU,0.493575271636428
RUS,0.43875992621374305
RWA,0.24320441053839204
SAS,0.05484344859504291
SAU,0.5254191379378823
SDN,0.1812796934317723
SEN,0.18354864768733664
SGP,0.5066133524784823
SHN,0.052399608227228195
SLB,0.13692598622199081
SLE,0.17468035414887786
SLV,0.20277966276273496
SMR,0.12302101894877357
SOM,0.2028672381086277
SPM,0.03518959003777808
SRB,0.4561166118147446
SSA,0.08711529234869922
SSD,0.20912271901016138
SSF,0.08659650082046745
SST,0.09829817654809338
STP,0.2130119788532835
SUR,0.19779055806346751
SVK,0.5493302166336437
SVN,0.38560389683449886
SWE,0.3755109438599539
SWZ,0.19915090012336706
SXM,0.041380999020568056
SYC,0.5113672269678642
SYR,0.19313075917133582
TCA,0.025954946131243863
TCD,0.14259742106329537
TEA,0.08184714831959682
TEC,0.09347283389894269
TGO,0.11976720821897341
THA,0.5125867224596916
TJK,0.5512131075095804
TKL,0.11501329229047154
TKM,0.12796911354977744
TLA,0.09015749047406868
TLS,0.25662246014053824
TMN,0.05885700872701087
TON,0.256411787435024
TSA,0.054843448595042886
TSS,0.08659650082046745
TTO,0.43714510924259076
TUN,0.20567570717852066
TUR,0.5762150627286439
TUV,0.2621029802714426
TZA,0.20295639061101406
UGA,0.1877778467303995
UKR,0.1261123720292767
UMC,0.08555786602148055
URY,0.2803084227364682
USA,0.3920925078330714
UZB,0.4970643599319979
VCT,0.5210584892144243
VEN,0.21299983103151082
VNM,0.19328742308556288
VUT,0.2624284969041688
WLD,0.11261515097612652
WSM,0.2505620241690052
YEM,0.1498991515371546
ZAF,0.6920668984690047
ZMB,0.24799106774612686
ZWE,0.22805428802833141
